Short,Full,City,Place
MNC,Manchester City,Manchester,1
ARS,Arsenal,Londyn,2
LFC,Liverpool,Liverpool,3
AST,Aston Villa,Birmingham,4
TOT,Tottenham Hotspur,Londyn,5
CHE,Chelsea,Londyn,6
NEW,Newcastle United,Newcastle upon Tyne,7
MNU,Manchester United,Manchester,8
WHU,West Ham United,Londyn,9
CRY,Crystal Palace,Londyn,10
B&H,Brighton & Hove Albion,Brighton,11
BOU,Bournemouth,Bournemouth,12
FUL,Fulham,Londyn,13
WOL,Wolverhampton Wanderers,Wolverhampton,14
EVE,Everton,Liverpool,15
BRE,Brentford,Londyn,16
NTF,Nottingham Forest,West Bridgford,17
